pref,city,category,sub_category,count,ratio,user_num
宮城県,亘理郡亘理町,遊戯施設,ボウリング場,23,0.000306613520323144,75013
宮城県,亘理郡亘理町,テーマパーク,動物園,8,0.00010664818098196313,75013
宮城県,亘理郡亘理町,家具・生活雑貨,生活雑貨,619,0.008251903003479397,75013
宮城県,亘理郡亘理町,趣味専門店,民芸品・芸術品販売,232,0.0030927972484769309,75013
宮城県,亘理郡亘理町,専門飲食店,インド・タイ料理,124,0.0016530468052204286,75013
宮城県,亘理郡亘理町,スーパー・百貨店,ディスカウントショップ,82,0.001093143855065122,75013
宮城県,亘理郡亘理町,スポーツ,マリンスポーツ,9,0.00011997920360470852,75013
宮城県,亘理郡亘理町,趣味専門店,時計店,54,0.00071987522162825115,75013
宮城県,亘理郡亘理町,趣味教室,技能教室,85,0.0011331369229333583,75013
宮城県,亘理郡亘理町,専門飲食店,焼き鳥・炉端焼き,121,0.0016130537373521923,75013
宮城県,亘理郡亘理町,美容・健康施設,フィットネスクラブ,249,0.0033194246330636025,75013
宮城県,亘理郡亘理町,ドライブ,道路料金所,8,0.00010664818098196313,75013
宮城県,亘理郡亘理町,スポーツ,プール,19,0.00025328942983216245,75013
宮城県,亘理郡亘理町,カフェ・喫茶,カフェ・喫茶,534,0.0071187660805460389,75013
宮城県,亘理郡亘理町,アウトドアレジャー,釣り,63,0.00083985442523295964,75013
宮城県,亘理郡亘理町,協同組合,協同組合,1012,0.013490994894218336,75013
宮城県,亘理郡亘理町,遊戯施設,カラオケボックス,139,0.0018530121445616092,75013
宮城県,亘理郡亘理町,洗濯所,コインランドリー,24,0.00031994454294588938,75013
宮城県,亘理郡亘理町,服飾,貸衣裳,17,0.00022662738458667164,75013
宮城県,亘理郡亘理町,趣味教室,カルチャーセンター,45,0.00059989601802354256,75013
宮城県,亘理郡亘理町,食品専門店,食品専門店,2855,0.038060069587938089,75013
宮城県,亘理郡亘理町,服飾,アウトレットショップ,5,6.6655113113726954e-05,75013
宮城県,亘理郡亘理町,専門飲食店,仕出し・弁当・宅配,474,0.0063189047231813154,75013
宮城県,亘理郡亘理町,アウトドアレジャー,アウトドアショップ,27,0.00035993761081412558,75013
宮城県,亘理郡亘理町,スクール,専修学校,76,0.0010131577193286498,75013
宮城県,亘理郡亘理町,趣味専門店,楽器店,62,0.00082652340261021428,75013
宮城県,亘理郡亘理町,服飾,アクセサリー,158,0.0021063015743937718,75013
宮城県,亘理郡亘理町,ドライブ,自転車,589,0.0078519723247970352,75013
宮城県,亘理郡亘理町,スポーツ,ボクシング,10,0.00013331022622745391,75013
宮城県,亘理郡亘理町,文化施設,図書館,53,0.00070654419900550568,75013
宮城県,亘理郡亘理町,ドラッグストア,ドラッグストア,714,0.00951835015264021,75013
宮城県,亘理郡亘理町,コンサート・映画,映画館,12,0.00015997227147294469,75013
宮城県,亘理郡亘理町,スポーツ,スキー・スノボ,10,0.00013331022622745391,75013
宮城県,亘理郡亘理町,宅配,郵便局,660,0.0087984749310119573,75013
宮城県,亘理郡亘理町,スーパー・百貨店,スーパーマーケット,1189,0.015850585898444271,75013
宮城県,亘理郡亘理町,遊戯施設,ゲームセンター,80,0.0010664818098196313,75013
宮城県,亘理郡亘理町,スーパー・百貨店,総合スーパー,54,0.00071987522162825115,75013
宮城県,亘理郡亘理町,スクール,大学・大学院・短期大学,116,0.0015463986242384654,75013
宮城県,亘理郡亘理町,趣味専門店,ホビーショップ,101,0.0013464332848972845,75013
宮城県,亘理郡亘理町,ファーストフード,うどん,4,5.3324090490981563e-05,75013
宮城県,亘理郡亘理町,スポーツ,乗馬,3,3.9993067868236172e-05,75013
宮城県,亘理郡亘理町,服飾,かばん店,102,0.00135976430752003,75013
宮城県,亘理郡亘理町,専門飲食店,イタリア料理,76,0.0010131577193286498,75013
宮城県,亘理郡亘理町,スポーツ,ゴルフ,184,0.0024529081625851521,75013
宮城県,亘理郡亘理町,専門飲食店,焼肉,813,0.010838121392292002,75013
宮城県,亘理郡亘理町,服飾,メガネ,300,0.0039993067868236169,75013
宮城県,亘理郡亘理町,スクール,塾・予備校,597,0.0079586205057789981,75013
宮城県,亘理郡亘理町,家具・生活雑貨,リサイクルショップ,232,0.0030927972484769309,75013
宮城県,亘理郡亘理町,スポーツ,スポーツ施設,266,0.0035460520176502741,75013
宮城県,亘理郡亘理町,修理・整備,修理・整備,231,0.0030794662258541851,75013
宮城県,亘理郡亘理町,趣味教室,芸術教室,93,0.0012397851039153214,75013
